Clock,S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix,Miscellaneous
04/26/10 17:14:39.655176,Snd,Nrm,16777215,   11,ID_CONNECTED_PONG,136,632196726,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,9,,
04/26/10 17:14:40.123908,Rcv,Nrm,   13,   24,ID_REPLICA_MANAGER_SERIALIZE,2543,632197188,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,8,,
632197213: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 1.000
04/26/10 17:14:40.186405,Snd,Nrm,   10,   11,ID_REPLICA_MANAGER_SERIALIZE,2543,632197252,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,9,,
04/26/10 17:14:40.202030,Rcv,Ack,10,,,,632197263,127.0.0.1:12345,127.0.0.1:4944,,,,,,
04/26/10 17:14:40.592640,Rcv,Nrm,   14,   25,ID_REPLICA_MANAGER_SERIALIZE,2543,632197650,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,9,,
632197668: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 2.000
04/26/10 17:14:40.623889,Rcv,Nrm,   15,   26,ID_REPLICA_MANAGER_SERIALIZE,2543,632197682,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,10,,
632197698: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 3.000
04/26/10 17:14:40.670762,Rcv,Nrm,   16,   27,ID_REPLICA_MANAGER_SERIALIZE,2543,632197736,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,11,,
04/26/10 17:14:40.670762,Snd,Nrm,   11,   12,ID_REPLICA_MANAGER_SERIALIZE,2543,632197736,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,10,,
04/26/10 17:14:40.686386,Rcv,Ack,11,,,,632197746,127.0.0.1:12345,127.0.0.1:4944,,,,,,
